[claude-sonnet-5 curve r1] correct=fouis probe_acc=0.20 argmax=['fouis', 'ivuia', 'ivuia', 'ivuia', 'ivuia']
[claude-sonnet-5 curve r2] correct=pzccb probe_acc=0.80 argmax=['pzccb', 'pzccb', 'pzccb', 'pzccb', 'cmhtq']
[claude-sonnet-5 curve r3] correct=fttbz probe_acc=0.80 argmax=['fttbz', 'iqtct', 'fttbz', 'fttbz', 'fttbz']
[claude-sonnet-5 curve r4] correct=psbrj probe_acc=0.20 argmax=['psbrj', 'ieuim', 'ieuim', 'ieuim', 'ieuim']
[claude-sonnet-5 curve r5] correct=mpyfu probe_acc=0.00 argmax=['raezz', 'raezz', 'raezz', 'raezz', 'raezz']
[claude-sonnet-5 curve r6] correct=mjriu probe_acc=0.60 argmax=['mjriu', 'oznwj', 'oznwj', 'mjriu', 'mjriu']
[claude-sonnet-5 curve r7] correct=hggkd probe_acc=1.00 argmax=['hggkd', 'hggkd', 'hggkd', 'hggkd', 'hggkd']
[claude-sonnet-5 curve r8] correct=ooeff probe_acc=0.20 argmax=['ooeff', 'cvqmd', 'cvqmd', 'cvqmd', 'cvqmd']
[claude-sonnet-5 curve r9] correct=agxwg probe_acc=0.80 argmax=['agxwg', 'cpciv', 'agxwg', 'agxwg', 'agxwg']
[claude-sonnet-5 curve r10] correct=cwjsq probe_acc=0.00 argmax=['saxkl', 'saxkl', 'saxkl', 'saxkl', 'saxkl']
[claude-sonnet-5 curve r11] correct=ljrdu probe_acc=0.40 argmax=['ljrdu', 'hpquf', 'hpquf', 'hpquf', 'ljrdu']
[claude-sonnet-5 curve r12] correct=blrey probe_acc=1.00 argmax=['blrey', 'blrey', 'blrey', 'blrey', 'blrey']
[claude-sonnet-5 curve r13] correct=bwfty probe_acc=0.80 argmax=['bwfty', 'herbv', 'bwfty', 'bwfty', 'bwfty']
[claude-sonnet-5 curve r14] correct=cssei probe_acc=0.60 argmax=['cssei', 'evkae', 'evkae', 'cssei', 'cssei']
[claude-sonnet-5 curve r15] correct=goteg probe_acc=0.00 argmax=['csbri', 'csbri', 'csbri', 'csbri', 'csbri']
[claude-sonnet-5 curve r16] correct=hlpof probe_acc=0.20 argmax=['hlpof', 'gaimt', 'gaimt', 'gaimt', 'gaimt']
[claude-sonnet-5 curve r17] correct=dzgum probe_acc=1.00 argmax=['dzgum', 'dzgum', 'dzgum', 'dzgum', 'dzgum']
[claude-sonnet-5 curve r18] correct=gwhah probe_acc=0.80 argmax=['gwhah', 'feeiw', 'gwhah', 'gwhah', 'gwhah']
[claude-sonnet-5 curve r19] correct=bpcgh probe_acc=0.20 argmax=['bpcgh', 'etiob', 'etiob', 'etiob', 'etiob']
[claude-sonnet-5 curve r20] correct=dqnnu probe_acc=0.00 argmax=['dqdtu', 'dqdtu', 'dqdtu', 'dqdtu', 'dqdtu']
[claude-sonnet-5 curve r1] correct=fouis probe_acc=0.20 argmax=['fouis', 'ivuia', 'ivuia', 'ivuia', 'ivuia']
[claude-sonnet-5 curve r2] correct=pzccb probe_acc=0.60 argmax=['pzccb', 'cmhtq', 'pzccb', 'pzccb', 'cmhtq']
[claude-sonnet-5 curve r3] correct=fttbz probe_acc=1.00 argmax=['fttbz', 'fttbz', 'fttbz', 'fttbz', 'fttbz']
[claude-sonnet-5 curve r4] correct=psbrj probe_acc=0.20 argmax=['psbrj', 'ieuim', 'ieuim', 'ieuim', 'ieuim']
[claude-sonnet-5 curve r5] correct=mpyfu probe_acc=0.00 argmax=['raezz', 'raezz', 'raezz', 'raezz', 'raezz']
[claude-sonnet-5 curve r6] correct=mjriu probe_acc=0.40 argmax=['mjriu', 'oznwj', 'oznwj', 'mjriu', 'oznwj']
[claude-sonnet-5 curve r7] correct=hggkd probe_acc=0.80 argmax=['hggkd', 'hggkd', 'hggkd', 'hggkd', 'egaob']
[claude-sonnet-5 curve r8] correct=ooeff probe_acc=0.40 argmax=['ooeff', 'cvqmd', 'ooeff', 'cvqmd', 'cvqmd']
[claude-sonnet-5 curve r9] correct=agxwg probe_acc=0.60 argmax=['agxwg', 'cpciv', 'agxwg', 'agxwg', 'cpciv']
[claude-sonnet-5 curve r10] correct=cwjsq probe_acc=0.00 argmax=['saxkl', 'saxkl', 'saxkl', 'saxkl', 'saxkl']
[claude-sonnet-5 curve r11] correct=ljrdu probe_acc=0.60 argmax=['ljrdu', 'hpquf', 'ljrdu', 'hpquf', 'ljrdu']
[claude-sonnet-5 curve r12] correct=blrey probe_acc=0.80 argmax=['blrey', 'blrey', 'blrey', 'blrey', 'fcivd']
[claude-sonnet-5 curve r13] correct=bwfty probe_acc=0.60 argmax=['bwfty', 'herbv', 'bwfty', 'bwfty', 'herbv']
[claude-sonnet-5 curve r14] correct=cssei probe_acc=1.00 argmax=['cssei', 'cssei', 'cssei', 'cssei', 'cssei']
